state,MaskUsage,SocialDistancing,mobilityLevels,PopulationDensity,casesPC_Levels,CurrentIncidencePhase,month,week,FutureIncidencePhase
California,N,Phase 0,VL,1,L,Phase 1,6,22,Phase 2
California,N,Phase 0,VL,1,L,Phase 1,6,23,Phase 2
California,N,Phase 0,VL,1,L,Phase 2,6,24,Phase 2
California,M,Phase 0,VL,1,L,Phase 2,6,25,Phase 2
California,M,Phase 0,VL,1,M,Phase 2,6,26,Phase 2
California,M,Phase 1,VL,1,H,Phase 2,7,27,Phase 2
California,M,Phase 1,VL,1,H,Phase 2,7,28,Phase 3
California,M,Phase 1,VL,1,VH,Phase 2,7,29,Phase 3
California,M,Phase 1,VL,1,VH,Phase 2,7,30,Phase 3
California,M,Phase 1,VL,1,VH,Phase 2,8,31,Phase 3
California,M,Phase 1,VL,1,VH,Phase 3,8,32,Phase 2
California,M,Phase 1,VL,1,H,Phase 3,8,33,Phase 2
California,M,Phase 1,VL,1,VH,Phase 3,8,34,Phase 3
California,M,Phase 1,VL,1,H,Phase 3,8,35,Phase 3
California,M,Phase 1,VL,1,H,Phase 2,9,36,Phase 3
California,M,Phase 2,VL,1,M,Phase 2,9,37,Phase 3
California,M,Phase 2,VL,1,M,Phase 3,9,38,Phase 3
California,M,Phase 2,VL,1,M,Phase 3,9,39,Phase 3
California,M,Phase 2,VL,1,M,Phase 3,10,40,Phase 3
California,M,Phase 3,VL,1,L,Phase 3,10,41,Phase 3
California,M,Phase 3,VL,1,L,Phase 3,10,42,Phase 3
Texas,N,Phase 0,L,1,VL,Phase 1,6,22,Phase 2
Texas,N,Phase 0,L,1,VL,Phase 1,6,23,Phase 2
Texas,N,Phase 3,L,1,L,Phase 1,6,24,Phase 2
Texas,N,Phase 3,M,1,L,Phase 2,6,25,Phase 2
Texas,N,Phase 3,L,1,M,Phase 2,6,26,Phase 2
Texas,M,Phase 1,L,1,H,Phase 2,7,27,Phase 2
Texas,M,Phase 1,L,1,VH,Phase 2,7,28,Phase 2
Texas,M,Phase 1,L,1,VH,Phase 2,7,29,Phase 2
Texas,M,Phase 1,VL,1,VH,Phase 2,7,30,Phase 2
Texas,M,Phase 1,VL,1,VH,Phase 2,8,31,Phase 2
Texas,M,Phase 1,L,1,VH,Phase 2,8,32,Phase 2
Texas,M,Phase 1,L,1,VH,Phase 2,8,33,Phase 2
Texas,M,Phase 1,M,1,VH,Phase 2,8,34,Phase 2
